Round,ExpertID,DataType,Role,Field,InterviewMode,EvidenceStatus,M1,M2,M3,M4,M5,M6,M7,M8,M9,KeyConcern,UseForCalibration,UseForPublicationResult,UseForWorkflowTesting
Round1,SIM_E01,Simulated,BME experimental researcher,Biomedical Engineering,In-person mock interview,Literature-informed placeholder,0.19,0.07,0.14,0.18,0.12,0.06,0.1,0.08,0.06,Figures/raw data/method controls should dominate biomedical experimental assessment.,No,No,Yes
Round1,SIM_E02,Simulated,Biostatistician,Biostatistics,Zoom mock interview,Literature-informed placeholder,0.08,0.13,0.24,0.18,0.13,0.08,0.08,0.05,0.03,Statistical consistency and data availability should carry high weight.,No,No,Yes
Round1,SIM_E03,Simulated,Journal editor,Publishing ethics,Online survey,Literature-informed placeholder,0.12,0.08,0.12,0.13,0.08,0.1,0.2,0.1,0.07,Formal notices and publication-record status guide C4-C7 boundaries.,No,No,Yes
Round1,SIM_E04,Simulated,Research integrity officer,Research compliance,In-person mock interview,Literature-informed placeholder,0.1,0.07,0.11,0.14,0.09,0.06,0.18,0.13,0.12,"C5/C6 require official wording, identity confirmation, and clear responsibility.",No,No,Yes
Round1,SIM_E05,Simulated,Image integrity specialist,Image integrity,Zoom mock interview,Literature-informed placeholder,0.25,0.06,0.1,0.17,0.09,0.05,0.11,0.09,0.08,Image anomalies are key in life sciences but do not alone prove intent.,No,No,Yes
Round1,SIM_E06,Simulated,Clinical researcher,Clinical research,In-person mock interview,Literature-informed placeholder,0.05,0.17,0.21,0.17,0.16,0.1,0.08,0.04,0.02,"Clinical articles require stronger attention to tables, statistics, and design.",No,No,Yes
Round1,SIM_E07,Simulated,Meta-research scholar,Meta-research,Online survey,Literature-informed placeholder,0.12,0.08,0.13,0.14,0.08,0.07,0.2,0.12,0.06,Database evidence helps organize patterns but requires source context.,No,No,Yes
Round1,SIM_E08,Simulated,Senior peer reviewer,Biomedical peer review,Zoom mock interview,Literature-informed placeholder,0.14,0.1,0.16,0.16,0.13,0.11,0.09,0.06,0.05,"Methods, statistics, and conclusion boundaries should be jointly assessed.",No,No,Yes
Round1,SIM_E09,Simulated,Research data manager,Research data management,Online survey,Literature-informed placeholder,0.11,0.08,0.14,0.25,0.1,0.06,0.12,0.08,0.06,Raw data and repository availability are central to reproducibility.,No,No,Yes
Round1,SIM_E10,Simulated,Ethics/compliance specialist,Research ethics,In-person mock interview,Literature-informed placeholder,0.1,0.07,0.12,0.13,0.1,0.06,0.17,0.1,0.15,"Responsibility attribution should remain a hard-logic condition, not simple TRS inflation.",No,No,Yes
